config,action
[ 50 155 800 300],3
[ 50 160 800 300],3
[ 50 165 800 300],3
[ 50 170 800 300],3
[ 50 175 800 300],3
[ 50 180 800 300],3
[ 50 185 800 300],3
[ 50 190 800 300],3
[ 50 195 800 300],3
[ 50 200 800 300],3
[ 50 205 800 300],3
[ 50 210 800 300],3
[ 50 215 800 300],3
[ 50 220 800 300],3
[ 50 225 800 300],3
[ 50 230 800 300],3
[ 50 235 800 300],3
[ 50 240 800 300],2
[ 55 240 800 300],2
[ 60 240 800 300],2
[ 65 240 800 300],2
[ 70 240 800 300],2
[ 75 240 800 300],2
[ 80 240 800 300],2
[ 85 240 800 300],2
[ 90 240 800 300],2
[ 95 240 800 300],2
[100 240 800 300],2
[105 240 800 300],2
[110 240 800 300],2
[115 240 800 300],2
[120 240 800 300],2
[125 240 800 300],2
[130 240 800 300],2
[135 240 800 300],2
[140 240 800 300],2
[145 240 800 300],2
[150 240 800 300],2
[155 240 800 300],2
[160 240 800 300],2
[165 240 800 300],2
[170 240 800 300],2
[175 240 800 300],2
[180 240 800 300],2
[185 240 800 300],2
[190 240 800 300],2
[195 240 800 300],2
[200 240 800 300],2
[205 240 800 300],2
[210 240 800 300],2
[215 240 800 300],2
[220 240 800 300],2
[225 240 800 300],2
[230 240 800 300],2
[235 240 800 300],2
[240 240 800 300],2
[245 240 800 300],2
[250 240 800 300],2
[255 240 800 300],2
[260 240 800 300],2
[265 240 800 300],2
[270 240 800 300],2
[275 240 800 300],2
[280 240 800 300],2
[285 240 800 300],2
[290 240 800 300],2
[295 240 800 300],2
[300 240 800 300],2
[305 240 800 300],2
[310 240 800 300],2
[315 240 800 300],2
[320 240 800 300],2
[325 240 800 300],3
[325 245 800 300],3
[325 250 800 300],3
[325 255 800 300],3
[325 260 800 300],3
[325 265 800 300],3
[325 270 800 300],3
[325 275 800 300],3
[325 280 800 300],3
[325 285 800 300],3
[325 290 800 300],3
[325 295 800 300],3
[325 300 800 300],3
[325 305 800 300],3
[325 310 800 300],3
[325 315 800 300],3
[325 320 800 300],3
[325 325 800 300],3
[325 330 800 300],3
[325 335 800 300],3
[325 340 800 300],3
[325 345 800 300],3
[325 350 800 300],3
[325 355 800 300],3
[325 360 800 300],3
[325 365 800 300],3
[325 370 800 300],3
[325 375 800 300],3
[325 380 800 300],3
[325 385 800 300],3
[325 390 800 300],3
[325 395 800 300],3
[325 400 800 300],3
[325 405 800 300],3
[325 410 800 300],3
[325 415 800 300],3
[325 420 800 300],3
[325 425 800 300],3
[325 430 800 300],2
[330 430 800 300],2
[335 430 800 300],2
[340 430 800 300],2
[345 430 800 300],2
[350 430 800 300],2
[355 430 800 300],2
[360 430 800 300],2
[365 430 800 300],2
[370 430 800 300],2
[375 430 800 300],2
[380 430 800 300],2
[385 430 800 300],2
[390 430 800 300],2
[395 430 800 300],2
[400 430 800 300],2
[405 430 800 300],2
[410 430 800 300],2
[415 430 800 300],2
[420 430 800 300],2
[425 430 800 300],2
[430 430 800 300],2
[435 430 800 300],2
[440 430 800 300],2
[445 430 800 300],2
[450 430 800 300],2
[455 430 800 300],2
[460 430 800 300],2
[465 430 800 300],2
[470 430 800 300],2
[475 430 800 300],2
[480 430 800 300],2
[485 430 800 300],2
[490 430 800 300],2
[495 430 800 300],2
[500 430 800 300],2
[505 430 800 300],2
[510 430 800 300],2
[515 430 800 300],1
[515 425 800 300],1
[515 420 800 300],1
[515 415 800 300],1
[515 410 800 300],1
[515 405 800 300],1
[515 400 800 300],1
[515 395 800 300],1
[515 390 800 300],1
[515 385 800 300],1
[515 380 800 300],1
[515 375 800 300],1
[515 370 800 300],1
[515 365 800 300],2
[520 365 800 300],2
[525 365 800 300],2
[530 365 800 300],2
[535 365 800 300],2
[540 365 800 300],2
[545 365 800 300],2
[550 365 800 300],2
[555 365 800 300],2
[560 365 800 300],2
[565 365 800 300],2
[570 365 800 300],2
[575 365 800 300],2
[580 365 800 300],2
[585 365 800 300],2
[590 365 800 300],2
[595 365 800 300],2
[600 365 800 300],2
[605 365 800 300],2
[610 365 800 300],2
[615 365 800 300],2
[620 365 800 300],2
[625 365 800 300],2
[630 365 800 300],2
[635 365 800 300],2
[640 365 800 300],2
[645 365 800 300],2
[650 365 800 300],2
[655 365 800 300],2
[660 365 800 300],2
[665 365 800 300],2
[670 365 800 300],2
[675 365 800 300],2
